id,created,abbr,name,location,timezone,hour,md5
1,1738108548,A,Alpha Time Zone,Military,UTC + 1 hour,1,dc479800bbefc0fc78e36172f098168c
2,1738108548,ACDT,Australian Central Daylight Time,Australia,UTC + 10:30 hours,10.5,a6905cf8402bb193c855e21df7ace0a8
3,1738108548,ACST,Australian Central Standard Time,Australia,UTC + 9:30 hours,9.5,7b60d87f026ab2825c73dbd8649c203a
4,1738108548,ADT,Atlantic Daylight Time,Atlantic,UTC – 3 hours,-3,cd8ad5c2f45bc67dd4f929d45e8661aa
5,1738108548,ADT,Atlantic Daylight Time,North America,UTC – 3 hours,-3,36c3aba5b800bafc478546fec9fb9d85
6,1738108548,AEDT,Australian Eastern Daylight Time,Australia,UTC + 11 hours,11,7b6e1b02ab2c333fdcfa1f1370c78b3a
7,1738108548,AEST,Australian Eastern Standard Time,Australia,UTC + 10 hours,10,b8af2f12f99ea48ae8ff28181867622b
8,1738108548,AFT,Afghanistan Time,Asia,UTC + 4:30 hours,4.5,ef87366b3c7db30cbdd4f50493aa6b8c
9,1738108548,AKDT,Alaska Daylight Time,North America,UTC – 8 hours,-8,279a8f91af0ee37f0b3e64ce0a778a5f
10,1738108548,AKST,Alaska Standard Time,North America,UTC – 9 hours,-9,803074af868c01e895e70002b0dd13ca
11,1738108548,ALMT,Alma-Ata Time,Asia,UTC + 6 hours,6,1669dd57ac878865421f94ffae6d2c78
12,1738108548,AMST,Armenia Summer Time,Asia,UTC + 5 hours,5,414342c025c3021e7d70dd0154e7bcaf
13,1738108548,AMST,Amazon Summer Time,South America,UTC – 3 hours,-3,cb2ff0ab16f6146ea1bb78d7ff587e64
14,1738108548,AMT,Armenia Time,Asia,UTC + 4 hours,4,5bba4354c75593199304df1c605a275b
15,1738108548,AMT,Amazon Time,South America,UTC – 4 hours,-4,a829670c066a597514b8f310f8a9ecbc
16,1738108548,ANAST,Anadyr Summer Time,Asia,UTC + 12 hours,12,f291720dc5fc49fb1d3a0692823cb8d6
17,1738108548,ANAT,Anadyr Time,Asia,UTC + 12 hours,12,ab544293ec6eaf46dc4e29e7a9f21e2d
18,1738108548,AQTT,Aqtobe Time,Asia,UTC + 5 hours,5,b2d984bee9ebb1bc2c6a1167741cdd37
19,1738108548,ART,Argentina Time,South America,UTC – 3 hours,-3,eae644253105a1cf83bca87617a57502
20,1738108548,AST,Arabia Standard Time,Asia,UTC + 3 hours,3,a052881141f758a3458ccfb2ebff6698
21,1738108548,AST,Atlantic Standard Time,Atlantic,UTC – 4 hours,-4,3c2e1532a4da0aa4d2cbf195f25d054a
22,1738108548,AST,Atlantic Standard Time,Caribbean,UTC – 4 hours,-4,ed3f1e303c528a21dc9ff76c61de1384
23,1738108548,AST,Atlantic Standard Time,North America,UTC – 4 hours,-4,c751eaac05197ed97b46ad8c974f6439
24,1738108548,AWDT,Australian Western Daylight Time,Australia,UTC + 9 hours,9,4acdbd8b799e1ea613c028698d93f50c
25,1738108548,AWST,Australian Western Standard Time,Australia,UTC + 8 hours,8,262ffc62b86791f2b6d75e52704fd392
26,1738108548,AZOST,Azores Summer Time,Atlantic,UTC,"0",1e3eeed42c4b2b6ef14624d036952894
27,1738108548,AZOT,Azores Time,Atlantic,UTC – 1 hour,-1,12546096d995b04ca8c40c9fbf09344f
28,1738108548,AZST,Azerbaijan Summer Time,Asia,UTC + 5 hours,5,56bb22af6b32590f29c4f8a6eea01936
29,1738108548,AZT,Azerbaijan Time,Asia,UTC + 4 hours,4,c4f555102942e36803f00b0231f83e84
30,1738108548,B,Bravo Time Zone,Military,UTC + 2 hours,2,aa6cb3bcf701ce8b4da8e290e7c06a14
31,1738108548,BNT,Brunei Darussalam Time,Asia,UTC + 8 hours,8,de02d9451f8c7fc56ef51c78f963ba31
32,1738108548,BOT,Bolivia Time,South America,UTC – 4 hours,-4,1c74bdcd50627b60b9b7855761a1ec4b
33,1738108548,BRST,Brasilia Summer Time,South America,UTC – 2 hours,-2,6a047e002e46ec682afea74af9f7b8ec
34,1738108548,BRT,Brasília time,South America,UTC – 3 hours,-3,cd5e83c3c55aa70a4b91606cd19a8019
35,1738108548,BST,Bangladesh Standard Time,Asia,UTC + 6 hours,6,e1df62adf8d62df08bbda001de02d045
36,1738108548,BST,British Summer Time,Europe,UTC + 1 hour,1,edf1f1055b6d67193b7d2a2edcdcf022
37,1738108548,BTT,Bhutan Time,Asia,UTC + 6 hours,6,1f3d13fde18123c8c1d9cb63e3ff3854
38,1738108548,C,Charlie Time Zone,Military,UTC + 3 hours,3,d53321273e48efbf521d0ba842eb69b4
39,1738108548,CAST,Casey Time,Antarctica,UTC + 8 hours,8,"06670ae02bb3d5b2cd4a26cf618f5830"
40,1738108548,CAT,Central Africa Time,Africa,UTC + 2 hours,2,"0e5522453c71df3251276d974f47a68b"
41,1738108548,CCT,Cocos Islands Time,Indian Ocean,UTC + 6:30 hours,6.5,"07f5f750c1f61f6612a489d397a625a6"
42,1738108548,CDT,Cuba Daylight Time,Caribbean,UTC – 4 hours,-4,ab1c8e5d6ae0f3b864b668446b729eee
43,1738108548,CDT,Central Daylight Time,North America,UTC – 5 hours,-5,259421553590f5b44854d1fbb8bdd6f2
44,1738108548,CEST,Central European Summer Time,Europe,UTC + 2 hours,2,76429b87411a629118fce28cac492e60
45,1738108548,CET,Central European Time,Africa,UTC + 1 hour,1,9c3fc341706c2f5610facde58c42016b
46,1738108548,CET,Central European Time,Europe,UTC + 1 hour,1,223725a719239caa41c1db86732f9299
47,1738108548,CHADT,Chatham Island Daylight Time,Pacific,UTC + 13:45 hours,13.75,5d10f98d3fc8c92ff4ed0d0cbb75cbef
48,1738108548,CHAST,Chatham Island Standard Time,Pacific,UTC + 12:45 hours,12.75,e284d13c8ff02fa764bb4f402ccc09e6
49,1738108548,CKT,Cook Island Time,Pacific,UTC – 10 hours,-10,e905c4ccc1043f9336c83566e32fd25e
50,1738108548,CLST,Chile Summer Time,South America,UTC – 3 hours,-3,a5a0aa111406ddbad9b866141b976344
51,1738108548,CLT,Chile Standard Time,South America,UTC – 4 hours,-4,6b22a32695b11e391d579423360b22ab
52,1738108548,COT,Colombia Time,South America,UTC – 5 hours,-5,73c13bff9f4e6bf66227eef6f731c61c
53,1738108548,CST,China Standard Time,Asia,UTC + 8 hours,8,3c0b91a3970cadea5ab3115b7a80d68e
54,1738108548,CST,Central Standard Time,Central America,UTC – 6 hours,-6,"0ae9513ae8bf9cebf3f06d7771fa56fe"
55,1738108548,CST,Cuba Standard Time,Caribbean,UTC – 5 hours,-5,57130fb91537c9c76df1fcb2c165fd45
